index,Galaxy,Alias,Survey,Project,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),VLA Config,"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")","HI sz_temp ("")",Ref(HI),SD comparison,HI quality comments,Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12M KK04,Log(O/H)+12 PT05,Log(O/H)+12M PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type,Web Log(Mstar),Web Log(Mstar) Error,Web Log(SFR),Web Log(SFR) Error,Web Log(MH2),Web Log(MH2) Error,Web Log(MHI),Web Log(MHI) (Error),21cmsize(arcmin),SDRA,SDDEC,SDSS,GALEX/HERSCHEL/THINGs
11,ngc2403,n2403,"HERACLES,THINGS,CANON","TGP,CGP",114.214238,65.60242,0.61,53,122,,,,56,128,,,,,,,1312.7,6.454,27.69,0.41,-21.24,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,-18.91,8.93,0.145,0.07,0.42,,8.92,8.81,8.46,8.33,8.89,-0.26,8.42,-0.32,M2010,8.57,0.24,SABcd,,,,,,,,,,,,,Y/V/Y
12,hoii,UGC04305,"HERACLES,THINGS",TGP,124.77075,70.720028,,,,,,,37,16,,,,,,,476.6,,27.65,0.71,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,-16.67,11.1,0.115,0.15,0.73,,8.13,8.13,7.72,7.72,8.13,0,8.13,0,M2010,7.93,0.21,Im,,,,,,,,,,,,,
13,m81dwa,m81dwa,"HERACLES,THINGS",TGP,125.97958,71.03222,,,,,,,26,173,,,,,,,77.3,,27.68,0.29,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,-11.4,16.35,0.073,0.1,0.31,,7.59,7.59,7.3,7.3,7.59,0,7.59,0,LZ-M2010,7.44,0.15,I?,,,,,,,,,,,,,
14,ddo053,ddo53,"HERACLES,THINGS",TGP,128.527083,66.181667,,,,,,,29,121,,,,,,,92.9,,27.76,0.55,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,-13.42,14.48,0.137,0.17,0.58,,8.06,7.98,7.69,7.57,8.06,0,7.69,0,M2010,7.8,0.2,Im,,,,,,,,,,,,,
15,ngc2681,n2681,STING,SGP,133.38642,51.31367,0.84,33,28,N/A,N/A,,33,28,,,,,,,217.8,7.595,30.9,0.4,-23.31,15.1,Early-type galaxy with tightly wound (nearly circular) spiral arms and a bright nucleus.,"Again, CO is only found near the nucleus.",,,S4G,2.59,1.39,49,137,132,1,0.139,,,,,,,,,0,300,no,,,-19.89,11.09,0.082,0.1,0.41,-19.86,0,0,0,0,0,0,0,0,None,0,0,S0-a,10.37,0.3,-0.4,0.24,8.97,0.08,7.53,0.11,100,,,yes,
16,ngc2782,n2782,STING,SGP,138.5213,40.1137,0.78,39,15,30,75,2008A&A...482..133H,30,75,,,,,,,208,8.999,31.03,0.96,-22.03,16.1,"Probable colliding system (based on appearance of two tidal tails) with a nuclear starburst, possibly fed by gas from the infalling companion.","CARMA observations target only the inner part of the main galaxy, and reveal two closely spaced peaks near the nucleus.",,,S4G,2.65,1.46,52,137,134,1,0.153,AB+C+D,7.47,6.24,88,401,401,2,0.53,802,500,1994AJ107-1695S/WRST,SD flux may be underestimated because the SD beam is not large to cover the whole gal,absorption feature at the center,-18.79,12.3,0.059,0.13,0.97,-20.76,8.59,8.59,8.59,8.59,8.59,0,8.59,0,Engelbracht2008,8.59,0.1,SABa,10.59,0.28,0.66,0.21,9.68,0.08,9.69,0.04,2.5,,,yes,
17,ngc2841,n2841,"HERACLES,THINGS",TGP,140.508505,50.9777,,,,,,,64,147,,,,,,,487.7,,30.94,0.7,,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,-20.91,10.09,0.055,0.1,0.71,,9.38,9.21,8.79,8.54,9.34,-0.42,8.72,-0.63,M2010,8.88,0.34,SAb,,,,,,,,,,,,,
18,ngc2903,n2903,"HERACLES,THINGS",TGP,143.042049,21.50087,,,,,,,61,17,,,,,,,755.4,,29.85,0.41,,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,-20.28,9.68,0.113,0.1,0.42,,9.13,9.13,8.47,8.47,9.13,0,8.47,0,LZ-M2010,8.8,0.33,,,,,,,,,,,,,,
19,hoi,UGC05139,"HERACLES,THINGS",TGP,145.146278,71.179555,,,,,,,36,45,,,,,,,217.8,,28.11,0.4,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,-15.29,13,0.183,0.2,0.45,,8.04,8.04,7.61,7.61,8.04,0,8.04,0,M2010,7.83,0.22,IABm,,,,,,,,,,,,,
20,ngc2976,n2976,"STING,HERACLES,THINGS","SGP,TGP",146.81442,67.91639,0.38,69,141,65,335,2008AJ....136.2648D,65,335,,,,,,,353.3,7.669,27.76,0.48,-20.09,3.6,"This dwarf spiral galaxy in the M81 group is an example of a ""pure disk"" system lacking a bulge or bar.","A few patches of CO emission are seen, roughly following a spiral pattern.",,Y,S4G,2.8,1.65,49,148,163,1,0.037,B+C+D,8.86,7.66,47,451,451,2,0.14,902,450,things,,Galactic Component,-17.2,10.82,0.258,0.13,0.5,-17.64,8.98,8.98,8.36,8.36,8.98,0,8.36,0,M2010,8.67,0.31,SAc,9.24,0.1,-1.28,0.23,8.08,0.1,8.15,0.02,100,,,yes,
21,ngc3031,n3031,CANON,CGP,148.88822,69.06529,0.51,60,149,,,,60,149,,,,,,,1614.9,3.926,27.8,,-23.87,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,8.94,8.37,8.37,9.11,-0.45,8.54,-0.37,M2010,,,SA(s)ab,,,,,,,,,,,,,Y/V/Y
22,ngc3077,n3077,"HERACLES,THINGS",TGP,150.825557,68.73339,,,,,,,34,45,,,,,,,322.2,,27.91,0.55,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,-17.54,10.61,0.243,0.13,0.57,,8.65,8.65,8.11,8.11,8.65,0,8.11,0,LZ-M2010,8.38,0.27,,,,,,,,,,,,,,
23,m81dwb,UGC05423,"HERACLES,THINGS",TGP,151.3775,70.364444,,,,,,,49,140,,,,,,,52.3,,29.7,0.65,,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,-14.81,15.19,0.295,0.18,0.67,,8.19,8.19,7.84,7.84,8.19,0,8.19,0,M2010,8.02,0.18,Im,,,,,,,,,,,,,
24,ngc3147,n3147,STING,SGP,154.22355,73.40075,0.82,35,145,32,147,2008MNRAS.388..500E,32,147,36.83,0.85,148.09,0.21,2785.02,0.58,233.4,7.498,33.06,0.33,-25.56,40.9,Face-on galaxy with tightly wound multiple arms and an elliptical bulge.,"Again CO is absent from the central regions, forming a more ringlike distribution around the bulge.",,Y,S4G,5.41,4.21,69,139,135,1,0.947,B+C+D,21.33,18.02,136,134,134,6,3.89,804,450,archive/wrst,SD flux may be underestimated because the SD beam is not large to cover the whole gal,Another galaxy is in the primary beam FOV with a velocity 2630-2740km/s,-21.72,11.43,0.088,0.16,0.37,-22.03,9.38,9.38,8.66,8.66,9.38,0,8.66,0,LZ-M2010,9.02,0.36,Sbc,11.26,0.13,0.75,0.17,10.58,0.1,10.09,0.04,4.5,,,no,
25,ngc3184,n3184,"HERACLES,THINGS,CANON","TGP,CGP",154.57026,41.42405,0.85,32,118,,,,21,135,,,,,,,444.8,7.622,30.49,0.52,-22.87,12.53,"This dwarf spiral galaxy in the M81 group is an example of a ""pure disk"" system lacking a bulge or bar.","A few patches of CO emission are seen, roughly following a spiral pattern.",,Y,S4G,2.8,1.65,49,148,163,1,0.131,,8.86,7.66,47,451,451,2,0.5,902,,,,,-20.19,10.36,0.06,0.1,0.53,,9.27,9.15,8.68,8.51,9.3,-0.52,8.65,-0.46,M2010,8.83,0.32,SAB(rs)cd,,,,,,,,,,,,,Y/K/Y
26,ngc3198,n3198,"STING,HERACLES,THINGS","SGP,TGP",154.97897,45.54962,0.35,70,40,72,215,2008AJ....136.2648D,72,215,,,,,,,510.7,8.041,30.73,0.26,-22.69,14,"Nearby, highly inclined galaxy with lots of HII regions spread throughout the disk.","A central peak in CO emission, with much weaker lanes of molecular gas in the disk.",,Y,S4G,2.94,2.63,95,137,132,1,0.189,B+C+D,7.74,6.53,66,801,801,2,0.48,1602,1100,things/WSRT(2007A\&A461-455B),,,-19.9,10.87,0.044,0.1,0.28,-20.79,9.17,8.9,9.54,8.34,9.1,-0.66,8.49,-0.5,M2010,9.22,0.28,Sc,10.15,0.13,0.27,0.31,9.8,0,10.13,0.03,7,,,yes,
27,ngc3351,n3351,"HERACLES,THINGS,CANON","TGP,CGP",160.99042,11.70381,0.88,29,163,,,,47,13,,,,,,,455.1,6.83,29.97,,-23.14,9.86,Face-on galaxy with tightly wound multiple arms and an elliptical bulge.,"Again CO is absent from the central regions, forming a more ringlike distribution around the bulge.",,Y,S4G,5.41,4.21,69,139,135,1,0.228,,21.33,18.02,136,134,134,6,0.94,804,,,,,-19.54,10.53,0.1,0.1,0.22,,9.19,9.19,8.71,8.6,9.24,-0.15,8.69,-0.28,M2010,8.9,0.3,SB(r)b,,,,,,,,,,,,,Y/K/Y
28,ngc3486,n3486,STING,SGP,165.09945,28.97514,0.81,36,83,N/A,N/A,,36,263,,,,,,,424.8,8.34,30.96,0.58,-22.62,15.6,"Multiple flocculent arms emanate from a bright inner ring, with a gap around the nucleus.",Clumpy CO emission appears to be mainly found in the ring.,,Y,S4G,3.88,3.45,114,143,140,1,0.276,D,59.23,49.83,79,81,81,20,4.1,1620,800,archive,,,-19.99,11.05,0.078,0.1,0.59,-19.85,9.08,9.08,8.43,8.43,9.08,0,8.43,0,LZ-M2010,8.755,0.32,Sc,9.93,0.12,0.36,0.09,9.13,0.22,9.79,0.02,5,,,yes,
29,ngc3521,n3521,"HERACLES,THINGS,CAN","TGP,CGP",166.45242,-0.03586,0.51,60,166,,,,62,163,,,,,,,657.9,5.868,30.3,0.53,-24.43,11.48,"Probable colliding system (based on appearance of two tidal tails) with a nuclear starburst, possibly fed by gas from the infalling companion.","CARMA observations target only the inner part of the main galaxy, and reveal two closely spaced peaks near the nucleus.",,,S4G,2.65,1.46,52,137,134,1,0.109,,7.47,6.24,88,401,401,2,0.38,802,,,,,-20.68,9.83,0.208,0.1,0.54,,9.27,9.01,8.45,8.39,9.2,-0.69,8.44,-0.16,M2010,8.7,0.31,SABbc,,,,,,,,,,,,,Y/K/Y
30,ngc3593,n3593,STING,SGP,168.65417,12.81767,0.41,67,90,N/A,N/A,,67,90,,,,,,,314.9,7.561,28.71,0,-21.15,5.5,"Highly inclined, early-type galaxy with a high rate of star formation for its class.","Extensive CO emission is seen, including a central peak and two offset peaks on either side (possibly part of a ring).",,,S4G,4.21,4.09,19,136,132,1,0.111,C+D,15.43,14.61,-14,126,126,4,0.4,504,300,archive,SD flux may be underestimated because the SD beam is not large to cover the whole gal,SDSS J111445.02+123851 is detected with HI to the south of N3593,-16.92,11.86,0.07,0.08,0.08,-17,8.55,8.55,8.02,8.02,8.55,0,8.02,0,LZ-M2010,8.285,0.26,S0-a,9.71,0.11,-0.94,0.32,8.61,0.08,8.13,0.08,2,,,yes,
31,ngc3627,n3627,"HERACLES,THINGS,CAN","TGP,CGP",170.06235,12.99154,0.55,57,7,,,,63,173,,,,,,,547.2,5.951,30.01,,-24.06,10.05,"This dwarf irregular galaxy has recently undergone a period of starburst activity, leading to the formation of two massive star clusters (""super star clusters"").",CO emission is confined to a few off-center blobs.,,,Fazio 4434944,4.74,4.27,87,136,133,1,0.219,,6.65,5.61,17,451,451,2,0.3,902,,,,,-20.48,9.65,0.12,0.13,0.39,,8.99,8.99,8.34,8.34,8.99,0,8.34,0,M2010,8.67,0.33,SABb,,,,,,,,,,,,,
32,ngc3938, n3938,CANON,CGP,178.20604,44.12072,0.95,18,29,,,,18,29,,,,,,,322.2,8.096,31.21,,-23.11,17.46,"Nearby, highly inclined galaxy with lots of HII regions spread throughout the disk.","A central peak in CO emission, with much weaker lanes of molecular gas in the disk.",,Y,S4G,2.94,2.63,95,137,132,1,0.235,,7.74,6.53,66,801,801,2,0.6,1602,,,,,,,,,,,9.06,9.06,8.42,8.42,9.06,0,8.42,0,LZ-M2010,,,SA(s)c,,,,,,,,,,,,,
33,ngc3949,n3949,STING,SGP,178.42384,47.85871,0.62,52,125,55,298,2001A&A...370..765V,55,298,,,,,,,173,8.72,31.35,0.23,-22.63,18.6,"Irregular, flocculent spiral structure in disk, with many filaments and knots of star formation.","Remarkably asymmetric CO distribution, with most molecular gas being located in the southeast.",,,S4G,2.77,1.61,49,128,117,1,0.191,,,,,,,,,0,300,no,,,-19.89,11.54,0.078,0.15,0.27,-20.5,0,0,0,0,0,0,0,0,None,0,0,Sbc,9.9,0.13,0.69,0.32,9.05,0.08,9.57,0.02,100,,,yes,
34,ngc4151,n4151,STING,SGP,182.63574,39.40573,0.81,36,130,21,22,1999MNRAS.304..481M,21,22,,,,,,,378.6,7.503,29.11,1.39,-21.61,6.6,"Barred galaxy with large, bright, circular bulge and relatively little star formation, mostly concentrated near nucleus and at bar ends.","Again, an off-center CO clump is seen, this time to the south of the nucleus.",,,S4G,2.77,2.43,101,141,137,1,0.083,A+B+C,9.58,8.81,66,301,301,4,0.3,1204,700,1999MNRAS.304..481M/wrst,,,-17.71,11.5,0.098,0.2,1.4,-18.66,8.68,8.68,8.13,8.13,8.68,0,8.13,0,LZ-M2010,8.405,0.28,SABa,10.18,0.23,-0.1,0.5,6.75,0.09,9.22,0.05,100,,,yes,
35,ngc4214,ngc4214,"HERACLES,THINGS",TGP,183.91305,36.328,,,,,,,39,125,,,,,,,510.7,,27.43,0.51,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,-17.27,10.24,0.079,0.14,0.53,,8.61,8.61,8.07,8.07,8.61,0,8.07,0,LZ-M2010,8.34,0.27,,,,,,,,,,,,,,
36,ngc4254,n4254,"STING,CANON","SGP,CGP,MSC",184.70668,14.41651,0.95,18,24,31,69,2008MNRAS.385..553D,31,69,44.46,0.63,66.87,0.16,2383.61,0.22,322.2,7.111,30.97,0.22,-23.86,15.6,"Large spiral in the Virgo cluster with prominent, asymmetric spiral arms and a small circular bulge.","Magnificent spiral structure is seen in CO, with some emission between the arms as well.",,Y,S4G,2.57,2.35,79,149,143,1,0.186,B+C+D,10.58,9.56,95,451,451,2,0.76,902,500,viva/WSRT(2007A\&A461-455B),,,-20.67,10.44,0.141,0.08,0.23,-20.79,9.23,9.13,8.6,8.45,9.26,-0.42,8.56,-0.37,M2010,8.865,0.34,Sc,10.18,0.23,0.5,0.26,9.97,0.12,9.66,0.01,9,184.70625,14.416389,yes,
37,ngc4273,n4273,STING,SGP,184.98365,5.34333,0.49,61,9,N/A,N/A,,61,189,50.01,2.77,195.22,0.75,2371.4,1.33,140.7,9.223,32.82,0.22,-23.6,36.6,Another Virgo galaxy with distorted spiral structure.,CO emission traces the inner spiral arms.,No 2MASS isophotal exists,,S4G,2.68,2.48,-45,137,134,1,0.458,,,,,,,,,0,300,archive,,,-20.5,12.39,0.068,0.08,0.23,-20.59,0,0,0,0,0,0,0,0,None,0,0,Sc,10.38,0.11,0.59,0.2,9.82,0.08,9.79,0.06,3.5,,,yes,
38,ngc4321,n4321,CANON,CGP,185.72846,15.82182,0.78,39,108,,,,39,108,,,,,,,444.8,6.81,31,,-24.19,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,9.12,8.59,8.43,9.29,-0.35,8.61,-0.38,M2010,,,SAB(s)bc,,,,,,,,,,,,,
39,ngc4536,n4536,STING,SGP,188.61271,2.18814,0.52,59,95,68,301,2006MNRAS.366..812C,68,301,45.06,2.12,117.81,0.52,1800.41,1.52,455.1,7.698,30.83,0.36,-23.13,14.7,Large Virgo spiral with two principal spiral arms showing multiple HII regions.,CO emission is strongly concentrated near the center.,,Y,S4G,3.32,3.07,-69,136,133,1,0.227,B+C+D,10.07,9.44,82,201,201,4,0.69,804,550,viva,,,-19.74,11.16,0.066,0.08,0.37,-20.51,9,9,8.21,8.21,9,0,8.21,0,M2010,8.605,0.4,SABb,10.25,0.14,0.3,0.03,9.39,0.08,9.62,0.02,10,188.6177917,2.16209167,yes,
40,ngc4605,n4605,STING,SGP,189.99742,61.60919,0.4,67,120,N/A,N/A,,67,300,,,,,,,345.3,7.921,28.69,0.4,-20.77,5.5,"Dwarf spiral galaxy with similar size and luminosity to Large Magellanic Cloud.  Highly inclined, with strong dust lanes.",CO is confined to a ringlike structure that is brightest at the ends as a result of our viewing angle.,,Y,S4G,3.99,3.61,18,99,99,1,0.101,B+C,5.53,4.88,73,251,251,2,0.14,502,300,things,,,-17.85,10.89,0.052,0.09,0.41,-18.63,8.71,8.71,8.15,8.15,8.71,0,8.15,0,LZ-M2010,8.43,0.28,SBc,10.14,0.12,-0.9,0.42,7.8,0.14,8.4,0.01,100,,,yes,
41,ngc4654,n4654,STING,SGP,190.98575,13.12668,0.45,64,120,62,125,2006MNRAS.366..812C,62,125,62.31,1.3,133.67,0.46,1062.92,0.82,293.9,7.932,31.03,0.26,-23.1,16.1,"This Virgo cluster spiral has a short, thin bar from which two prominent spiral arms emanate, and a lopsided stellar distribution.","The bar shows up strongly in the CO image, along with the northern arm; CO in southern region is more patchy.",,Y,S4G,2.63,2.5,106,137,132,1,0.2,C+D,16.92,16.37,55,301,301,4,1.3,1204,575,viva,,,-20.02,11.1,0.094,0.1,0.28,-20.63,8.82,8.82,8.84,8.84,9.51,-0.66,8.85,-0.77,Pilyugin2004;Dors2006,8.83,0.27,SABcd,10.11,0.12,0.66,0.34,9.34,0.09,9.42,0.02,5,,,yes,
42,ngc4736,n4736,"HERACLES,THINGS,CANON","TGP,CGP",192.72109,41.12046,0.79,38,85,,,,36,105,,,,,,,673.2,5.169,28.43,,-23.26,4.85,"Weakly barred galaxy with an asymmetric outer spiral arm, in contrast to two fairly symmetric inner spiral arms.",Spiral arms emanating from a horizontal bar-like structure are clearly visible in CO.,,Y,S4G,2.81,2.43,-20,137,133,1,0.061,,23.27,19.22,169,201,201,8,0.5,1608,,,,,-19.5,8.99,0.064,0.13,0.36,,9.06,9.01,8.44,8.31,9.04,-0.11,8.4,-0.33,M2010,8.66,0.35,,,,,,,,,,,,,,
43,ddo154,ngc4789a,"HERACLES,THINGS",TGP,193.521629,27.14852,,,,,,,44,35,,,,,,,181.2,,28.03,0.09,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,-14.12,13.94,0.034,0.18,0.2,,8.02,8.02,7.54,7.54,8.02,0,8.02,0,M2010,7.78,0.24,IBm,,,,,,,,,,,,,
44,ngc5055,n5055,"HERACLES,THINGS,CANON","TGP,CGP",198.95554,42.02928,,,,,,,55,105,,,,,,,755.4,,29.58,0.52,,8.24,,,,,S4G,2.59,1.39,49,137,132,1,0.076,,,,,,,,,,,,,,-20.33,9.31,0.064,0.1,0.53,,9.35,9.14,8.65,8.4,9.3,-0.54,8.59,-0.63,M2010,8.77,0.37,SAbc,,,,,,,,,,,,,Y/K/Y
45,ngc5194,n5194,"HERACLES,THINGS,CANON","TGP,CGP",202.46963,47.19517,,33,163,,,1304.1801v3,21,173,,,,,,,828.23,,29.55,0.25,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,-20.72,8.96,0.127,0.06,0.26,,9.38,9.18,8.67,8.55,9.33,-0.5,8.64,-0.31,M2010,8.87,0.32,,,,,,,,,,,,,,
46,ngc5371,n5371,STING,SGP,208.91643,40.46176,0.7,46,21,48,11,2009ApJ...704.1657F,48,11,,,,,,,261.9,7.776,32.21,0.53,-24.43,27.7,"Nearly face-on galaxy with strong, thin spiral arms containing many HII regions.",The thin arms show up strongly in CO emission.,,Y,S4G,3.31,2.6,94,141,137,1,0.394,D,85.09,45.56,82,41,41,20,8.35,820,500,archive,,,-20.93,11.32,0.035,0.14,0.55,-21.85,9.24,9.24,8.55,8.55,9.24,0,8.55,0,LZ-M2010,8.895,0.34,Sbc,11.2,0.19,1.09,0.29,9.73,0.09,9.99,0.02,3,,,yes,
